date,USD,SAR,MYR,SGD,THB,TRY,JPY,VND,IDR
2023-06-13,0.272264,1.021033,1.257056,0.36544,9.442039,6.437284,38.166305,6398.894986,4049.797403
2023-06-14,0.272272,1.021074,1.258306,0.365048,9.43994,6.418408,38.112794,6400.43784,4061.211563
2023-06-15,0.272265,1.021177,1.259487,0.36392,9.417659,6.440637,38.190962,6407.747023,4057.831384
2023-06-16,0.272264,1.020818,1.256362,0.364929,9.410803,6.430977,38.619248,6406.363683,4073.458986
2023-06-17,0.272264,1.020818,1.256362,0.364929,9.410803,6.430977,38.619248,6406.363683,4073.458986
2023-06-18,0.272264,1.02118,1.256361,0.364207,9.444884,6.412764,38.626605,6406.36464,4066.258219
2023-06-19,0.272265,1.021225,1.259905,0.365057,9.462424,6.426401,38.634503,6405.708797,4088.055152
2023-06-20,0.272265,1.021184,1.263443,0.365706,9.483657,6.419208,38.481604,6405.705178,4090.230959
2023-06-21,0.272264,1.021381,1.265077,0.364784,9.470854,6.413678,38.577007,6400.936187,4070.352871
2023-06-22,0.272265,1.021246,1.266168,0.36614,9.564732,6.776695,38.942969,6405.026223,4068.178611
2023-06-23,0.272264,1.021297,1.273244,0.36771,9.59741,6.878491,39.123002,6405.013174,4096.295205
2023-06-24,0.272264,1.021065,1.273244,0.36806,9.59741,6.882103,39.12718,6405.013174,4096.295205
2023-06-25,0.272255,1.021282,1.273202,0.368025,9.58607,6.894263,39.080871,6404.802581,4082.193832
2023-06-26,0.27225,1.020916,1.272359,0.36851,9.591385,7.105903,39.057742,6408.756413,4096.268011
2023-06-27,0.27225,1.021058,1.270318,0.367451,9.605128,7.087797,39.172088,6406.034792,4080.47809
2023-06-28,0.272264,1.021008,1.271883,0.368293,9.688872,7.094523,39.31235,6415.223024,4080.694438
2023-06-29,0.272256,1.021064,1.271843,0.369237,9.700514,7.090523,39.41856,6417.478687,4103.167864
2023-06-30,0.272255,1.021177,1.270752,0.368144,9.60254,7.092547,39.287791,6421.13789,4094.799246
2023-07-01,0.272255,1.021177,1.270752,0.368144,9.60254,7.092547,39.287791,6421.13789,4094.799246
2023-07-02,0.272255,1.021283,1.270751,0.368246,9.613288,7.009472,39.314597,6421.13789,4081.921577
2023-07-03,0.272272,1.021068,1.2707,0.367781,9.540418,7.043457,39.366568,6455.566722,4101.231613
2023-07-04,0.27225,1.02097,1.266507,0.36735,9.495535,7.073077,39.31533,6455.043449,4089.192434
2023-07-05,0.272272,1.02092,1.266873,0.368464,9.521881,7.103735,39.340525,6467.816726,4106.947906
2023-07-06,0.272265,1.021387,1.269292,0.368392,9.581089,7.114769,39.19306,6458.120283,4135.484005
2023-07-07,0.272264,1.021366,1.271576,0.367639,9.539727,7.095258,38.687379,6439.046188,4127.986748
2023-07-08,0.272264,1.021257,1.271576,0.36753,9.567916,7.095258,38.692825,6439.046188,4127.986748
2023-07-09,0.272254,1.021362,1.271289,0.366535,9.566931,7.117483,38.718199,6438.807833,4120.564759
2023-07-10,0.272249,1.020871,1.271541,0.366022,9.542269,7.115024,38.46952,6439.37973,4144.453129
2023-07-11,0.272264,1.021191,1.268203,0.364942,9.463984,7.110177,38.150477,6452.661547,4127.87922
2023-07-12,0.272258,1.021032,1.26627,0.361977,9.436566,7.134415,37.657918,6445.030404,4066.175059
2023-07-13,0.272249,1.021429,1.249489,0.360078,9.408846,7.095414,37.591093,6445.500881,4073.120958
2023-07-14,0.272249,1.021297,1.232211,0.35967,9.425371,7.124847,37.759625,6436.653713,4084.556018
2023-07-15,0.272249,1.021658,1.232211,0.359615,9.424736,7.124847,37.762348,6436.653713,4084.556018
2023-07-16,0.272252,1.021437,1.232206,0.35978,9.430806,7.147989,37.75784,6436.722465,4072.348298
2023-07-17,0.272272,1.021205,1.242784,0.359928,9.420057,7.18449,37.772325,6436.50523,4080.537389
2023-07-18,0.272259,1.02105,1.236735,0.36015,9.273059,7.338131,37.852658,6436.873476,4081.292242
2023-07-19,0.27225,1.021076,1.236693,0.360697,9.264248,7.303234,38.005396,6435.981682,4083.472472
2023-07-20,0.27225,1.021205,1.236826,0.361221,9.311975,7.311403,38.078486,6439.658978,4098.991928
2023-07-21,0.272264,1.021454,1.241807,0.362357,9.433689,7.344062,38.60171,6441.088168,4095.76429
2023-07-22,0.272264,1.020629,1.241807,0.362276,9.369435,7.344407,38.604433,6441.088168,4095.76429
2023-07-23,0.272255,1.021269,1.24311,0.362428,9.369784,7.339169,38.593345,6440.868028,4090.628431
2023-07-24,0.272265,1.021133,1.245202,0.36263,9.409524,7.344171,38.531826,6445.862254,4092.407837
2023-07-25,0.272264,1.021056,1.245202,0.361541,9.375437,7.331673,38.366692,6443.137887,4093.904198
2023-07-26,0.272264,1.021214,1.253188,0.36098,9.329419,7.332379,38.217333,6445.857646,4087.776418
2023-07-27,0.272257,1.021345,1.231145,0.36236,9.388241,7.340013,37.808594,6443.504555,4111.624024
2023-07-28,0.272249,1.021267,1.239688,0.362338,9.235795,7.329197,38.426636,6450.9468,4113.006068
2023-07-29,0.272249,1.021267,1.239688,0.362338,9.235795,7.329197,38.426636,6450.9468,4113.006068
2023-07-30,0.272255,1.021268,1.239984,0.36247,9.33008,7.328491,38.323671,6451.076886,4109.685824
2023-07-31,0.27225,1.0214,1.233428,0.362042,9.329868,7.336844,38.748496,6448.919629,4113.968317
2023-08-01,0.272257,1.021562,1.231135,0.363387,9.339536,7.344281,38.925462,6449.779369,4121.841906
2023-08-02,0.272255,1.021478,1.240671,0.365235,9.381879,7.341976,39.026351,6462.647261,4145.623163
2023-08-03,0.272255,1.02135,1.237129,0.3651,9.411858,7.402835,38.823249,6468.772141,4129.559589
2023-08-04,0.272254,1.021361,1.240129,0.364577,9.441884,7.334726,38.593436,6461.958571,4125.443945
2023-08-05,0.272254,1.021244,1.240127,0.364576,9.441867,7.334713,38.593367,6461.947127,4125.436639
