date,USD,SAR,MYR,SGD,AED,THB,TRY,JPY,VND
2023-06-13,6.7229151e-05,0.000252,0.00031,9.0236647e-05,0.000247,0.002331,0.00159,0.009424,1.580053
2023-06-14,6.7042102e-05,0.000251,0.00031,8.9886364e-05,0.000246,0.002324,0.00158,0.009385,1.575992
2023-06-15,6.7096082e-05,0.000252,0.00031,8.9683309e-05,0.000246,0.002321,0.001587,0.009412,1.579106
2023-06-16,6.6838441e-05,0.000251,0.000308,8.9586932e-05,0.000245,0.00231,0.001579,0.009481,1.572709
2023-06-17,6.6838441e-05,0.000251,0.000308,8.9586932e-05,0.000245,0.00231,0.001579,0.009481,1.572709
2023-06-18,6.6956813e-05,0.000251,0.000309,8.9568123e-05,0.000246,0.002323,0.001577,0.009499,1.575494
2023-06-19,6.6600067e-05,0.00025,0.000308,8.9298368e-05,0.000245,0.002315,0.001572,0.009451,1.566933
2023-06-20,6.6564601e-05,0.00025,0.000309,8.9409576e-05,0.000244,0.002319,0.001569,0.009408,1.566099
2023-06-21,6.6889632e-05,0.000251,0.000311,8.9619732e-05,0.000246,0.002327,0.001576,0.009478,1.572575
2023-06-22,6.6925445e-05,0.000251,0.000311,9.0001004e-05,0.000246,0.002351,0.001666,0.009573,1.574421
2023-06-23,6.646594e-05,0.000249,0.000311,8.9766572e-05,0.000244,0.002343,0.001679,0.009551,1.563611
2023-06-24,6.646594e-05,0.000249,0.000311,8.9852007e-05,0.000244,0.002343,0.00168,0.009552,1.563611
2023-06-25,6.6693344e-05,0.00025,0.000312,9.0153728e-05,0.000245,0.002348,0.001689,0.009573,1.568961
2023-06-26,6.6462847e-05,0.000249,0.000311,8.9962448e-05,0.000244,0.002341,0.001735,0.009535,1.564535
2023-06-27,6.6720043e-05,0.00025,0.000311,9.0051041e-05,0.000245,0.002354,0.001737,0.0096,1.569923
2023-06-28,6.6720043e-05,0.00025,0.000312,9.0252535e-05,0.000245,0.002374,0.001739,0.009634,1.572091
2023-06-29,6.6352598e-05,0.000249,0.00031,8.9988388e-05,0.000244,0.002364,0.001728,0.009607,1.56403
2023-06-30,6.6488035e-05,0.000249,0.00031,8.990538e-05,0.000244,0.002345,0.001732,0.009595,1.56812
2023-07-01,6.6488035e-05,0.000249,0.00031,8.990538e-05,0.000244,0.002345,0.001732,0.009595,1.56812
2023-07-02,6.6697792e-05,0.00025,0.000311,9.0213766e-05,0.000245,0.002355,0.001717,0.009631,1.573067
2023-07-03,6.6387838e-05,0.000249,0.00031,8.9675695e-05,0.000244,0.002326,0.001717,0.009599,1.574056
2023-07-04,6.6577896e-05,0.00025,0.00031,8.9834246e-05,0.000245,0.002322,0.00173,0.009614,1.578562
2023-07-05,6.6295412e-05,0.000249,0.000308,8.971725e-05,0.000243,0.002318,0.00173,0.009579,1.574848
2023-07-06,6.5836252e-05,0.000247,0.000307,8.9080728e-05,0.000242,0.002317,0.00172,0.009477,1.561636
2023-07-07,6.5955665e-05,0.000247,0.000308,8.9060191e-05,0.000242,0.002311,0.001719,0.009372,1.559851
2023-07-08,6.5955665e-05,0.000247,0.000308,8.9033808e-05,0.000242,0.002318,0.001719,0.009373,1.559851
2023-07-09,6.6072019e-05,0.000248,0.000309,8.895255e-05,0.000243,0.002322,0.001727,0.009396,1.562603
2023-07-10,6.5690074e-05,0.000246,0.000307,8.8316035e-05,0.000241,0.002302,0.001717,0.009282,1.553734
2023-07-11,6.5957405e-05,0.000247,0.000307,8.8408975e-05,0.000242,0.002293,0.001722,0.009242,1.56319
2023-07-12,6.6956813e-05,0.000251,0.000311,8.9021426e-05,0.000246,0.002321,0.001755,0.009261,1.585035
2023-07-13,6.6840452e-05,0.000251,0.000307,8.8403527e-05,0.000246,0.00231,0.001742,0.009229,1.582448
2023-07-14,6.6653336e-05,0.00025,0.000302,8.8055982e-05,0.000245,0.002308,0.001744,0.009244,1.575851
2023-07-15,6.6653336e-05,0.00025,0.000302,8.8042651e-05,0.000245,0.002307,0.001744,0.009245,1.575851
2023-07-16,6.6853857e-05,0.000251,0.000303,8.8347038e-05,0.000246,0.002316,0.001755,0.009272,1.580592
2023-07-17,6.6724495e-05,0.00025,0.000305,8.8206112e-05,0.000245,0.002309,0.001761,0.009257,1.577367
2023-07-18,6.6708916e-05,0.00025,0.000303,8.8244221e-05,0.000245,0.002272,0.001798,0.009275,1.577166
2023-07-19,6.6671111e-05,0.00025,0.000303,8.8330889e-05,0.000245,0.002269,0.001788,0.009307,1.576105
