date,USD,SAR,MYR,SGD,AED,THB,TRY,VND,IDR
2023-06-13,0.007134,0.026752,0.032936,0.009575,0.026201,0.247392,0.168664,167.658226,106.109235
2023-06-14,0.007144,0.026791,0.033015,0.009578,0.026238,0.247684,0.168406,167.934103,106.557698
2023-06-15,0.007129,0.026739,0.032979,0.009529,0.026184,0.246594,0.168643,167.781765,106.251091
2023-06-16,0.00705,0.026433,0.032532,0.009449,0.025894,0.243682,0.166523,165.885251,105.477428
2023-06-17,0.00705,0.026433,0.032532,0.009449,0.025894,0.243682,0.166523,165.885251,105.477428
2023-06-18,0.007049,0.026437,0.032526,0.009429,0.025889,0.244518,0.166019,165.853682,105.270919
2023-06-19,0.007047,0.026433,0.032611,0.009449,0.025884,0.244922,0.166338,165.802799,105.813581
2023-06-20,0.007075,0.026537,0.032832,0.009503,0.025986,0.246447,0.166812,166.461489,106.290552
2023-06-21,0.007058,0.026476,0.032794,0.009456,0.025922,0.245505,0.166256,165.9262,105.512407
2023-06-22,0.006991,0.026224,0.032513,0.009402,0.025679,0.245609,0.174016,164.471954,104.465035
2023-06-23,0.006959,0.026105,0.032545,0.009399,0.02556,0.245314,0.175817,163.714768,104.702988
2023-06-24,0.006958,0.026096,0.032541,0.009407,0.025558,0.245288,0.175891,163.697286,104.691808
2023-06-25,0.006966,0.026133,0.032579,0.009417,0.025588,0.245288,0.17641,163.885871,104.455037
2023-06-26,0.00697,0.026139,0.032576,0.009435,0.025603,0.245569,0.181933,164.084151,104.877236
2023-06-27,0.00695,0.026066,0.032429,0.00938,0.025528,0.245203,0.18094,163.535698,104.168
2023-06-28,0.006926,0.025972,0.032353,0.009368,0.025437,0.246459,0.180465,163.185948,103.801845
2023-06-29,0.006907,0.025903,0.032265,0.009367,0.025369,0.24609,0.179878,162.803478,104.092282
2023-06-30,0.00693,0.025992,0.032345,0.00937,0.025453,0.244415,0.180528,163.438505,104.225743
2023-07-01,0.00693,0.025992,0.032345,0.00937,0.025453,0.244415,0.180528,163.438505,104.225743
2023-07-02,0.006925,0.025977,0.032323,0.009367,0.025436,0.244522,0.178292,163.327069,103.827125
2023-07-03,0.006916,0.025937,0.032279,0.009342,0.025402,0.242348,0.17892,163.986016,104.180572
2023-07-04,0.006925,0.025969,0.032214,0.009344,0.025435,0.241522,0.179906,164.186425,104.010126
2023-07-05,0.006921,0.025951,0.032203,0.009366,0.025419,0.242037,0.18057,164.405961,104.394844
2023-07-06,0.006947,0.02606,0.032386,0.009399,0.025515,0.244459,0.181531,164.77714,105.515723
2023-07-07,0.007038,0.0264,0.032868,0.009503,0.025848,0.246585,0.1834,166.4379,106.701121
2023-07-08,0.007037,0.026394,0.032863,0.009499,0.025845,0.247279,0.183374,166.414477,106.686105
2023-07-09,0.007032,0.026379,0.032834,0.009467,0.025828,0.247091,0.183828,166.29926,106.424494
2023-07-10,0.007077,0.026537,0.033053,0.009515,0.025995,0.248048,0.184952,167.389135,107.733423
2023-07-11,0.007137,0.026767,0.033242,0.009566,0.026212,0.24807,0.186372,169.137113,108.199937
2023-07-12,0.00723,0.027113,0.033626,0.009612,0.026555,0.250587,0.189453,171.146753,107.97663
2023-07-13,0.007242,0.027172,0.033239,0.009579,0.026602,0.250295,0.188753,171.463512,108.353352
2023-07-14,0.00721,0.027047,0.032633,0.009525,0.026483,0.249615,0.18869,170.463919,108.172578
2023-07-15,0.00721,0.027055,0.032631,0.009523,0.026481,0.24958,0.188676,170.451629,108.164779
2023-07-16,0.00721,0.027052,0.032634,0.009529,0.026485,0.249771,0.189311,170.473802,107.854378
2023-07-17,0.007208,0.027036,0.032902,0.009529,0.026474,0.24939,0.190205,170.402677,108.029819
2023-07-18,0.007193,0.026974,0.032672,0.009515,0.026418,0.244978,0.19386,170.050766,107.820493
2023-07-19,0.007163,0.026867,0.03254,0.009491,0.026312,0.243761,0.192163,169.343892,107.444545
2023-07-20,0.00715,0.026818,0.032481,0.009486,0.026262,0.244547,0.192009,169.115415,107.645874
2023-07-21,0.007053,0.026461,0.03217,0.009387,0.025906,0.244385,0.190252,166.860176,106.103182
2023-07-22,0.007053,0.026438,0.032167,0.009384,0.025904,0.242704,0.190248,166.848408,106.095699
2023-07-23,0.007054,0.026462,0.03221,0.009391,0.025911,0.242782,0.190167,166.89064,105.993104
2023-07-24,0.007066,0.026501,0.032316,0.009411,0.025953,0.244201,0.1906,167.286705,106.208509
2023-07-25,0.007096,0.026613,0.032455,0.009423,0.026064,0.244364,0.191095,167.935716,106.704644
2023-07-26,0.007124,0.026721,0.032791,0.009445,0.026166,0.244115,0.19186,168.663197,106.96132
2023-07-27,0.007201,0.027014,0.032563,0.009584,0.026449,0.24831,0.194136,170.424337,108.748398
2023-07-28,0.007085,0.026577,0.032261,0.009429,0.026024,0.240349,0.190732,167.876959,107.035288
2023-07-29,0.007085,0.026577,0.032261,0.009429,0.026024,0.240349,0.190732,167.876959,107.035288
2023-07-30,0.007104,0.026649,0.032356,0.009458,0.026094,0.243455,0.191226,168.331394,107.236227
