date,USD,SAR,SGD,AED,THB,TRY,JPY,VND,IDR
2023-06-13,0.216589,0.812242,0.290711,0.79551,7.511234,5.120922,30.361665,5090.382857,3221.653007
2023-06-14,0.21638,0.811467,0.29011,0.794719,7.502103,5.100833,30.288974,5086.55167,3227.523331
2023-06-15,0.216171,0.810788,0.288943,0.793974,7.477375,5.113697,30.322626,5087.583624,3221.812039
2023-06-16,0.216708,0.812519,0.290465,0.795949,7.490521,5.118731,30.738957,5099.13963,3242.266154
2023-06-17,0.216708,0.812519,0.290465,0.795949,7.490521,5.118731,30.738957,5099.13963,3242.266154
2023-06-18,0.216708,0.812808,0.289891,0.79595,7.517652,5.104237,30.744833,5099.143804,3236.536877
2023-06-19,0.216099,0.810557,0.289749,0.793711,7.510428,5.100704,30.66462,5084.279858,3244.733273
2023-06-20,0.215494,0.808255,0.289452,0.791488,7.5062,5.080726,30.457725,5070.038275,3237.368399
2023-06-21,0.215216,0.807366,0.288349,0.790466,7.486383,5.069791,30.493793,5059.719275,3217.47355
2023-06-22,0.215031,0.806564,0.289172,0.789785,7.554081,5.352131,30.75657,5058.593107,3212.986109
2023-06-23,0.213835,0.802122,0.288798,0.785395,7.537761,5.402334,30.727022,5030.46725,3217.211006
2023-06-24,0.213835,0.801939,0.289073,0.785395,7.537761,5.405171,30.730303,5030.46725,3217.211006
2023-06-25,0.213835,0.802137,0.289055,0.785421,7.529101,5.414899,30.694938,5030.466583,3206.240848
2023-06-26,0.213972,0.802381,0.289628,0.785942,7.53827,5.584826,30.697111,5036.909337,3219.428118
2023-06-27,0.214316,0.803782,0.289259,0.787204,7.5612,5.579546,30.836443,5042.859252,3212.17061
2023-06-28,0.214064,0.802753,0.289565,0.786236,7.617741,5.57797,30.908788,5043.879929,3208.389279
2023-06-29,0.214064,0.802823,0.290317,0.786261,7.627134,5.575001,30.99327,5045.812189,3226.160215
2023-06-30,0.214247,0.8036,0.289706,0.786936,7.55658,5.581378,30.916961,5053.021961,3222.343278
2023-07-01,0.214247,0.8036,0.289706,0.786936,7.55658,5.581378,30.916961,5053.021961,3222.343278
