date,USD,MYR,SGD,AED,THB,TRY,JPY,VND,IDR
2023-06-13,0.266656,1.23116,0.357912,0.9794,9.247533,6.304676,37.380078,6267.077499,3966.371418
2023-06-14,0.266653,1.232336,0.357513,0.979361,9.245109,6.285938,37.326183,6268.339001,3977.392089
2023-06-15,0.266618,1.233368,0.356373,0.979262,9.222356,6.307071,37.39896,6274.863514,3973.680298
2023-06-16,0.266711,1.230741,0.357487,0.979607,9.218888,6.29983,37.831681,6275.717924,3990.388437
2023-06-17,0.266711,1.230741,0.357487,0.979607,9.218888,6.29983,37.831681,6275.717924,3990.388437
2023-06-18,0.266617,1.230303,0.356653,0.979259,9.248989,6.279758,37.825458,6273.491449,3981.920731
2023-06-19,0.266606,1.233719,0.357469,0.979216,9.265759,6.292836,37.831531,6272.573812,4003.089822
2023-06-20,0.266617,1.237234,0.358119,0.979256,9.286924,6.286046,37.683325,6272.822447,4005.381431
2023-06-21,0.266565,1.238595,0.357148,0.979067,9.272598,6.279419,37.769464,6266.943606,3985.14704
2023-06-22,0.266601,1.239827,0.358523,0.979196,9.365751,6.635715,38.132812,6271.778053,3983.545491
2023-06-23,0.266587,1.246694,0.360043,0.979148,9.397281,6.735057,38.30719,6271.452746,4010.877279
2023-06-24,0.266647,1.246977,0.360467,0.97937,9.399415,6.740124,38.319983,6272.877229,4011.788301
2023-06-25,0.266582,1.246671,0.360356,0.979161,9.386308,6.750595,38.266473,6271.334319,3997.125899
2023-06-26,0.266672,1.246291,0.36096,0.979512,9.394877,6.960318,38.25753,6277.454272,4012.343967
2023-06-27,0.266635,1.244119,0.359873,0.979376,9.407032,6.941618,38.364203,6273.916717,3996.322302
2023-06-28,0.266662,1.245713,0.360715,0.979424,9.489515,6.948547,38.503466,6283.224554,3996.730806
2023-06-29,0.266639,1.245605,0.36162,0.979371,9.500398,6.94425,38.605381,6285.090299,4018.522194
2023-06-30,0.266609,1.2444,0.36051,0.979262,9.403406,6.945465,38.473057,6287.978967,4009.882979
2023-07-01,0.266609,1.2444,0.36051,0.979262,9.403406,6.945465,38.473057,6287.978967,4009.882979
2023-07-02,0.266582,1.244269,0.360571,0.979161,9.412952,6.863399,38.495304,6287.325117,3996.856709
2023-07-03,0.266654,1.244481,0.360192,0.979366,9.343564,6.898125,38.55429,6322.364391,4016.607964
2023-07-04,0.266658,1.240495,0.359805,0.979461,9.300506,6.927803,38.507832,6322.463287,4005.204495
2023-07-05,0.266693,1.240913,0.360914,0.979509,9.326765,6.95817,38.534383,6335.282251,4022.790885
2023-07-06,0.266564,1.242714,0.360678,0.979061,9.380467,6.96579,38.372382,6322.891383,4048.88962
2023-07-07,0.266569,1.244976,0.359949,0.979081,9.340166,6.946833,37.878079,6304.347926,4041.633487
2023-07-08,0.266597,1.245109,0.35988,0.979185,9.368764,6.947573,37.88745,6305.020215,4042.064482
2023-07-09,0.26656,1.2447,0.358869,0.979085,9.36684,6.968622,37.908414,6304.141185,4034.383798
2023-07-10,0.266684,1.245545,0.358539,0.979556,9.347186,6.969564,37.683045,6307.732333,4059.723467
2023-07-11,0.266614,1.241886,0.357369,0.979249,9.267593,6.962631,37.358802,6318.759852,4042.219989
2023-07-12,0.26665,1.240186,0.35452,0.979401,9.242181,6.987452,36.8822,6312.268708,3982.415594
2023-07-13,0.266538,1.223275,0.352524,0.979021,9.211455,6.946557,36.802458,6310.278616,3987.669625
2023-07-14,0.266572,1.206516,0.352169,0.979147,9.228824,6.976272,36.972225,6302.430398,3999.380914
2023-07-15,0.266478,1.206089,0.351992,0.978801,9.224939,6.973805,36.961816,6300.201713,3997.966641
2023-07-16,0.266539,1.206346,0.352229,0.979013,9.232885,6.997976,36.965429,6301.637281,3986.883386
2023-07-17,0.266618,1.216978,0.352454,0.979235,9.224449,7.035303,36.987978,6302.850413,3995.804532
2023-07-18,0.266646,1.211238,0.352726,0.979384,9.081885,7.186848,37.072287,6304.170864,3997.152303
2023-07-19,0.26663,1.211167,0.353252,0.979359,9.073026,7.152488,37.220931,6303.137302,3999.185972
