date,USD,SAR,MYR,AED,THB,TRY,JPY,VND,IDR
2023-06-13,0.745032,2.793982,3.43984,2.736426,25.837445,17.615153,104.43928,17510.104491,11081.972099
2023-06-14,0.745854,2.797099,3.446964,2.739369,25.859482,17.582388,104.405015,17533.162533,11125.158028
2023-06-15,0.748145,2.80605,3.460893,2.747859,25.878394,17.697959,104.943363,17607.582679,11150.346813
2023-06-16,0.746074,2.797307,3.442759,2.740261,25.788061,17.622559,105.826834,17555.111005,11162.342352
2023-06-17,0.746074,2.797307,3.442759,2.740261,25.788061,17.622559,105.826834,17555.111005,11162.342352
2023-06-18,0.747552,2.803844,3.449578,2.74569,25.932727,17.607464,106.0567,17589.894155,11164.686324
2023-06-19,0.745815,2.797442,3.451258,2.739301,25.920427,17.603847,105.831527,17547.163479,11198.412906
2023-06-20,0.744491,2.792364,3.454807,2.734438,25.932476,17.55293,105.225574,17516.005813,11184.484341
2023-06-21,0.746372,2.799961,3.468018,2.741349,25.962914,17.582129,105.753032,17547.19868,11158.256924
2023-06-22,0.743608,2.789221,3.45815,2.731195,26.123145,18.508472,106.360824,17493.372596,11110.987176
2023-06-23,0.740431,2.777448,3.462628,2.719532,26.100461,18.706273,106.396241,17418.635904,11140.004369
2023-06-24,0.739727,2.774177,3.459335,2.716946,26.075644,18.6983,106.306427,17402.073526,11129.41198
2023-06-25,0.739774,2.775035,3.459554,2.717207,26.047334,18.733139,106.190807,17403.172889,11092.164688
2023-06-26,0.738784,2.770388,3.452709,2.713628,26.027453,19.282781,105.988196,17390.983137,11115.749035
2023-06-27,0.740914,2.778758,3.457106,2.721449,26.139866,19.289079,106.604844,17433.697492,11104.813345
2023-06-28,0.739259,2.772271,3.453453,2.715229,26.307509,19.263256,106.742044,17418.801586,11080.021143
2023-06-29,0.737346,2.765331,3.444511,2.708284,26.271748,19.203152,106.756665,17380.356359,11112.54484
2023-06-30,0.739533,2.773848,3.451775,2.716325,26.083618,19.265663,106.718403,17441.896238,11122.804833
2023-07-01,0.739533,2.773848,3.451775,2.716325,26.083618,19.265663,106.718403,17441.896238,11122.804833
2023-07-02,0.739331,2.773375,3.450825,2.71558,26.105647,19.034779,106.761915,17437.110696,11084.782729
2023-07-03,0.74031,2.776296,3.455048,2.719011,25.940501,19.151238,107.038129,17552.75636,11151.293507
2023-07-04,0.741119,2.779287,3.44769,2.722203,25.848774,19.254353,107.024313,17571.93923,11131.612283
2023-07-05,0.738937,2.770745,3.438254,2.713969,25.842089,19.279315,106.768957,17553.452869,11146.128523
2023-07-06,0.739063,2.772556,3.445493,2.7145,26.00787,19.313043,106.389572,17530.569485,11225.772598
2023-07-07,0.740574,2.778174,3.45876,2.720058,25.948606,19.29951,105.231897,17514.57588,11228.361316
2023-07-08,0.740793,2.778701,3.459785,2.720864,26.032993,19.305229,105.277894,17519.765753,11231.688474
2023-07-09,0.742778,2.786534,3.4684,2.728254,26.101021,19.418305,105.633094,17566.705309,11241.94862
2023-07-10,0.743807,2.789099,3.47395,2.732079,26.07023,19.438805,105.101757,17592.892181,11322.972104
2023-07-11,0.746049,2.798232,3.475084,2.740165,25.932874,19.483055,104.538589,17681.355123,11311.068752
2023-07-12,0.752143,2.820713,3.498208,2.762609,26.06954,19.709597,104.034093,17805.097271,11233.250723
2023-07-13,0.756084,2.836686,3.470047,2.777174,26.130004,19.705199,104.397009,17900.277775,11311.76582
2023-07-14,0.756943,2.839542,3.425952,2.78033,26.205637,19.809421,104.984203,17896.018716,11356.411919
2023-07-15,0.757057,2.840977,3.426471,2.780751,26.20784,19.812421,105.00767,17898.728378,11358.13141
2023-07-16,0.756719,2.839059,3.424889,2.779477,26.212708,19.86767,104.947048,17890.72225,11318.998558
2023-07-17,0.756461,2.837247,3.452866,2.778331,26.172036,19.960891,104.944015,17882.740961,11337.082859
2023-07-18,0.755958,2.835065,3.433939,2.776617,25.747736,20.37518,105.102346,17872.734489,11332.186797
2023-07-19,0.754788,2.830843,3.428623,2.772412,25.684312,20.247572,105.366615,17843.192754,11321.068025
