date,USD,SAR,MYR,SGD,AED,TRY,JPY,VND,IDR
2023-06-13,0.028835,0.108137,0.133134,0.038704,0.105909,0.681768,4.042168,677.702638,428.911303
2023-06-14,0.028843,0.108165,0.133296,0.038671,0.105933,0.67992,4.037398,678.016775,430.215813
2023-06-15,0.02891,0.108432,0.133737,0.038642,0.106184,0.683889,4.05525,680.397045,430.874763
2023-06-16,0.028931,0.108473,0.133502,0.038778,0.106261,0.683361,4.103714,680.745673,432.849228
2023-06-17,0.028931,0.108473,0.133502,0.038778,0.106261,0.683361,4.103714,680.745673,432.849228
2023-06-18,0.028827,0.10812,0.13302,0.038561,0.105877,0.678967,4.089686,678.289411,430.524962
2023-06-19,0.028773,0.107924,0.133148,0.03858,0.105681,0.67915,4.082939,676.962756,432.030423
2023-06-20,0.028709,0.107678,0.133223,0.038562,0.105445,0.676871,4.057676,675.446716,431.292573
2023-06-21,0.028748,0.107845,0.133576,0.038516,0.105587,0.677202,4.073234,675.856284,429.776752
2023-06-22,0.028465,0.106772,0.132379,0.03828,0.104551,0.708509,4.071517,669.650335,425.33115
2023-06-23,0.028368,0.106414,0.132665,0.038313,0.104195,0.716703,4.076412,667.368895,426.81255
2023-06-24,0.028368,0.10639,0.132665,0.03835,0.104195,0.717079,4.076848,667.368895,426.81255
2023-06-25,0.028401,0.106538,0.132818,0.038392,0.104318,0.719196,4.07684,668.13643,425.846446
2023-06-26,0.028385,0.106441,0.132656,0.038421,0.10426,0.740863,4.072169,668.178437,427.077858
2023-06-27,0.028344,0.106303,0.132254,0.038256,0.104111,0.737918,4.078248,666.939051,424.822886
2023-06-28,0.028101,0.105379,0.131273,0.038012,0.103211,0.732234,4.057474,662.122801,421.173328
2023-06-29,0.028066,0.105259,0.131111,0.038064,0.103087,0.730943,4.063554,661.560714,422.984601
2023-06-30,0.028352,0.106344,0.132335,0.038338,0.104139,0.738612,4.091396,668.691609,426.428764
2023-07-01,0.028352,0.106344,0.132335,0.038338,0.104139,0.738612,4.091396,668.691609,426.428764
