date,USD,SAR,MYR,SGD,AED,THB,JPY,VND,IDR
2023-06-13,0.042295,0.158612,0.195277,0.056769,0.155345,1.466774,5.928945,994.036473,629.115861
2023-06-14,0.042421,0.159085,0.196046,0.056875,0.155802,1.47076,5.938045,997.200273,632.744412
2023-06-15,0.042273,0.158552,0.195553,0.056504,0.155264,1.462225,5.929687,994.893383,630.035733
2023-06-16,0.042336,0.158734,0.195361,0.056745,0.155497,1.463355,6.005191,996.172637,633.412117
2023-06-17,0.042336,0.158734,0.195361,0.056745,0.155497,1.463355,6.005191,996.172637,633.412117
2023-06-18,0.042457,0.159242,0.195916,0.056794,0.155939,1.472826,6.023394,999.00214,634.088268
2023-06-19,0.042367,0.158911,0.196051,0.056806,0.155608,1.47243,6.011841,996.780056,636.134419
2023-06-20,0.042414,0.159083,0.196822,0.056971,0.155782,1.477387,5.994758,997.896423,637.186185
2023-06-21,0.042451,0.15925,0.197247,0.056876,0.155917,1.476665,6.014803,998.013323,634.63629
2023-06-22,0.040177,0.1507,0.186841,0.054029,0.147565,1.411416,5.746602,945.154863,600.318978
2023-06-23,0.039582,0.148477,0.185105,0.053458,0.145381,1.395279,5.687731,931.165484,595.522383
2023-06-24,0.039561,0.148365,0.185008,0.053481,0.145304,1.394546,5.685353,930.676789,595.209841
2023-06-25,0.03949,0.148135,0.184676,0.053381,0.145048,1.390441,5.668607,929.004616,592.114568
2023-06-26,0.038313,0.143672,0.179057,0.05186,0.140728,1.349777,5.49652,901.891875,576.459862
2023-06-27,0.038411,0.144059,0.179226,0.051843,0.141088,1.355164,5.526694,903.811829,575.704704
2023-06-28,0.038377,0.143915,0.179277,0.051912,0.140954,1.365683,5.541225,904.250117,575.189422
2023-06-29,0.038397,0.144004,0.179372,0.052075,0.141033,1.368096,5.55933,905.078328,578.683388
2023-06-30,0.038386,0.143979,0.179167,0.051906,0.140993,1.353892,5.539306,905.335917,577.338299
2023-07-01,0.038386,0.143979,0.179167,0.051906,0.140993,1.353892,5.539306,905.335917,577.338299
2023-07-02,0.038841,0.1457,0.181291,0.052535,0.142664,1.371471,5.608781,916.065833,582.343652
2023-07-03,0.038656,0.144967,0.180409,0.052216,0.141976,1.354508,5.589097,916.53379,582.275347
2023-07-04,0.038491,0.144346,0.17906,0.051936,0.141381,1.34249,5.558448,912.621635,578.134836
2023-07-05,0.038328,0.143716,0.178339,0.051869,0.140771,1.340405,5.538006,910.481152,578.139242
2023-07-06,0.038268,0.143559,0.178402,0.051778,0.140553,1.346648,5.50869,907.706246,581.253445
2023-07-07,0.038373,0.14395,0.179215,0.051815,0.140939,1.344521,5.452568,907.514006,581.795142
2023-07-08,0.038373,0.143935,0.179215,0.051799,0.140939,1.348494,5.453336,907.514006,581.795142
2023-07-09,0.038251,0.1435,0.178615,0.051498,0.140499,1.344145,5.439872,904.646683,578.935626
2023-07-10,0.038264,0.143481,0.178712,0.051443,0.140548,1.341144,5.406801,905.039796,582.493217
2023-07-11,0.038292,0.143624,0.178364,0.051327,0.140643,1.331048,5.365616,907.524762,580.55929
2023-07-12,0.038161,0.143114,0.177488,0.050737,0.140166,1.322683,5.278347,903.37197,569.93813
2023-07-13,0.03837,0.143956,0.176098,0.050748,0.140936,1.326046,5.297942,908.403807,574.049814
2023-07-14,0.038211,0.143343,0.172946,0.050481,0.140354,1.322888,5.299711,903.409457,573.28337
2023-07-15,0.038211,0.143394,0.172946,0.050473,0.140354,1.322798,5.300093,903.409457,573.28337
2023-07-16,0.038088,0.142898,0.172385,0.050333,0.139899,1.319365,5.282303,900.494219,569.719468
2023-07-17,0.037897,0.14214,0.172982,0.050098,0.139189,1.311166,5.257481,895.888914,567.96477
2023-07-18,0.037102,0.139143,0.168535,0.049079,0.136274,1.263681,5.158352,877.181657,556.176023
2023-07-19,0.037278,0.139811,0.169335,0.049389,0.136926,1.268513,5.203913,881.250966,559.132117
2023-07-20,0.037236,0.139673,0.169164,0.049405,0.136773,1.273624,5.208096,880.769247,560.630003
2023-07-21,0.037073,0.139086,0.16909,0.04934,0.136164,1.284533,5.25618,877.047039,557.697372
2023-07-22,0.037071,0.138967,0.169082,0.049327,0.136158,1.275724,5.256304,877.005876,557.671197
2023-07-23,0.037096,0.139153,0.16938,0.049383,0.136255,1.276682,5.258545,877.601867,557.369462
2023-07-24,0.037072,0.13904,0.16955,0.049377,0.136162,1.281223,5.246586,877.684114,557.232098
2023-07-25,0.037135,0.139266,0.169839,0.049312,0.136395,1.278758,5.233006,878.808647,558.386065
2023-07-26,0.037132,0.139275,0.170911,0.049231,0.136381,1.272359,5.212133,879.095009,557.49662
2023-07-27,0.037092,0.139148,0.167731,0.049368,0.13624,1.27905,5.151026,877.860153,560.165802
2023-07-28,0.037146,0.139342,0.169144,0.049438,0.136441,1.260137,5.242953,880.171042,561.181009
2023-07-29,0.037146,0.139342,0.169144,0.049438,0.136441,1.260137,5.242953,880.171042,561.181009
2023-07-30,0.03715,0.139356,0.1692,0.04946,0.136454,1.273124,5.229408,880.273528,560.781975
2023-07-31,0.037107,0.139215,0.168114,0.049346,0.136298,1.271646,5.281358,878.97738,560.727269
2023-08-01,0.037071,0.139096,0.167632,0.049479,0.13616,1.271675,5.300105,878.204378,561.23154
2023-08-02,0.037082,0.139129,0.168983,0.049746,0.136203,1.277841,5.315511,880.232705,564.646799
2023-08-03,0.036777,0.137967,0.167116,0.049319,0.135083,1.271386,5.244376,873.823687,557.83492
2023-08-04,0.037119,0.13925,0.169076,0.049706,0.136338,1.287285,5.261742,881.008905,562.453753
2023-08-05,0.037119,0.139234,0.169076,0.049706,0.136338,1.287285,5.261742,881.008905,562.453753
2023-08-06,0.037038,0.138952,0.168707,0.049612,0.13604,1.283004,5.255026,879.096888,561.866433
2023-08-07,0.037023,0.13889,0.168789,0.049644,0.135986,1.289491,5.27669,878.550542,564.190127
2023-08-08,0.03699,0.138749,0.169505,0.049856,0.135865,1.295019,5.299845,878.135084,562.675967
2023-08-09,0.037043,0.138983,0.169323,0.049868,0.136059,1.299532,5.324165,879.59106,563.575422
2023-08-10,0.036869,0.138332,0.168567,0.049758,0.135402,1.295216,5.340736,875.553267,562.754281
2023-08-11,0.03693,0.138561,0.1694,0.049933,0.135646,1.295156,5.351373,877.461735,565.901884
2023-08-12,0.03693,0.138561,0.1694,0.049933,0.135646,1.295156,5.351373,877.461735,565.901884
2023-08-13,0.036877,0.138363,0.169154,0.049904,0.13545,1.295194,5.340651,876.196661,565.102594
2023-08-14,0.036954,0.13863,0.170711,0.050099,0.135733,1.302263,5.374718,880.437831,567.395527
2023-08-15,0.036947,0.138582,0.171267,0.050182,0.135706,1.308641,5.379922,885.800462,565.942441
2023-08-16,0.036924,0.138478,0.17094,0.050233,0.135624,1.310765,5.403255,884.145221,567.484983
2023-08-17,0.036859,0.138237,0.171488,0.050054,0.135383,1.307782,5.370968,879.64952,566.224849
2023-08-18,0.036892,0.138352,0.171642,0.050124,0.135508,1.312284,5.36472,878.778587,565.229501
2023-08-19,0.036892,0.138358,0.171642,0.050124,0.135508,1.312284,5.36472,878.778587,565.229501
2023-08-20,0.036841,0.138166,0.17122,0.049987,0.135319,1.303434,5.353457,877.561475,563.120367
2023-08-21,0.036751,0.137842,0.170854,0.049883,0.134984,1.293274,5.374487,875.39729,563.190632
2023-08-22,0.036751,0.137859,0.170821,0.049896,0.134987,1.2874,5.357169,875.416681,563.177381
2023-08-23,0.036767,0.137918,0.170892,0.04972,0.135046,1.284599,5.319355,880.382591,562.571645
2023-08-24,0.038595,0.144787,0.179271,0.052384,0.141759,1.350793,5.637581,926.461936,588.412359
2023-08-25,0.037665,0.141302,0.174781,0.05108,0.138346,1.323951,5.515526,904.156617,576.204454
2023-08-26,0.037665,0.141298,0.174781,0.05108,0.138346,1.323951,5.515526,904.156617,576.204454
2023-08-27,0.037938,0.142344,0.176047,0.051426,0.139348,1.331154,5.559266,910.704976,580.263804
2023-08-28,0.038002,0.142554,0.17688,0.0515,0.139582,1.339184,5.565943,915.654994,579.952198
2023-08-29,0.03766,0.14126,0.17495,0.050862,0.138326,1.318486,5.498093,910.997922,572.491958
2023-08-30,0.037472,0.14057,0.173863,0.050578,0.137635,1.31264,5.4746,904.209374,570.442573
