date,SAR,MYR,SGD,AED,THB,TRY,JPY,VND,IDR
2023-06-13,3.750153,4.61704,1.342225,3.6729,34.679664,23.643499,140.181013,23502.5,14874.5
2023-06-14,3.750196,4.6215,1.340745,3.672796,34.670971,23.573499,139.980502,23507.5,14916.0
2023-06-15,3.750679,4.625968,1.33664,3.672898,34.590097,23.655801,140.271501,23535.0,14904.0
2023-06-16,3.749372,4.614504,1.34035,3.67291,34.565038,23.620404,141.84504,23530.0,14961.45
2023-06-17,3.749372,4.614504,1.34035,3.67291,34.565038,23.620404,141.84504,23530.0,14961.45
2023-06-18,3.750702,4.6145,1.3377,3.67291,34.690207,23.553503,141.872039,23530.0,14935.0
2023-06-19,3.750853,4.627499,1.340815,3.672896,34.754497,23.603502,141.900499,23527.5,15015.0
2023-06-20,3.750704,4.640498,1.3432,3.672898,34.832503,23.577096,141.338997,23527.5,15023.0
2023-06-21,3.75143,4.646503,1.339815,3.6729,34.785502,23.5568,141.689498,23510.0,14950.0
2023-06-22,3.75093,4.650503,1.344795,3.672897,35.130274,24.890101,143.033505,23525.0,14942.0
2023-06-23,3.751124,4.676504,1.350565,3.672904,35.250369,25.264038,143.69504,23525.0,15045.3
2023-06-24,3.750273,4.676504,1.35185,3.672904,35.250369,25.277304,143.710385,23525.0,15045.3
2023-06-25,3.751195,4.676505,1.351765,3.673025,35.209875,25.322802,143.545016,23525.0,14994.0
2023-06-26,3.749928,4.673501,1.353575,3.6731,35.23011,26.10069,143.462972,23540.0,15046.0
2023-06-27,3.750448,4.666004,1.349685,3.673099,35.280585,26.03418,143.882959,23530.0,14988.0
2023-06-28,3.750065,4.671503,1.352705,3.672904,35.586299,26.057503,144.390497,23562.5,14988.0
2023-06-29,3.750384,4.671498,1.356215,3.673016,35.630139,26.043602,144.78499,23571.5,15071.0
2023-06-30,3.750808,4.667504,1.352204,3.673025,35.270369,26.051104,144.30504,23585.0,15040.3
2023-07-01,3.750808,4.667504,1.352204,3.673025,35.270369,26.051104,144.30504,23585.0,15040.3
2023-07-02,3.751198,4.6675,1.352575,3.673025,35.309846,25.745966,144.403497,23585.0,14993.0
2023-07-03,3.750179,4.667027,1.350785,3.672799,35.04004,25.869204,144.585499,23710.0,15063.0
2023-07-04,3.750121,4.652004,1.34931,3.673097,34.878019,25.980099,144.409016,23710.0,15020.0
2023-07-05,3.749636,4.652972,1.353295,3.6728,34.97197,26.0906,144.489895,23755.0,15084.0
2023-07-06,3.751448,4.661976,1.353065,3.672895,35.190338,26.131802,143.952007,23720.0,15189.2
2023-07-07,3.751379,4.670378,1.350304,3.672904,35.038504,26.060204,142.09504,23650.0,15161.7
2023-07-08,3.750979,4.670378,1.349904,3.672904,35.142038,26.060204,142.11504,23650.0,15161.7
2023-07-09,3.751502,4.669497,1.346297,3.67304,35.139723,26.142803,142.213502,23650.0,15135.0
2023-07-10,3.749763,4.6705,1.344435,3.673102,35.049729,26.13421,141.302481,23652.5,15223.0
2023-07-11,3.750736,4.657985,1.340395,3.672903,34.760295,26.11499,140.123002,23700.0,15161.3
2023-07-12,3.750236,4.65099,1.329535,3.672985,34.660365,26.204599,138.316968,23672.5,14935.0
2023-07-13,3.751815,4.589502,1.322605,3.673105,34.559678,26.062198,138.076024,23675.0,14961.0
2023-07-14,3.751331,4.526039,1.321104,3.673104,34.620369,26.170304,138.69504,23642.5,15003.0
2023-07-15,3.752658,4.526039,1.320904,3.673104,34.618038,26.170304,138.70504,23642.5,15003.0
2023-07-16,3.751803,4.525974,1.321495,3.673065,34.639962,26.255027,138.686999,23642.5,14958.0
2023-07-17,3.750684,4.564498,1.321945,3.672801,34.597992,26.3872,138.730215,23640.0,14987.0
2023-07-18,3.750295,4.5425,1.322825,3.672979,34.059749,26.952798,139.032011,23642.5,14990.5
2023-07-19,3.750513,4.542497,1.324875,3.673099,34.028503,26.825503,139.597594,23640.0,14999.0
2023-07-20,3.750987,4.542984,1.3268,3.673098,34.203799,26.855502,139.86602,23653.5,15056.0
2023-07-21,3.751704,4.561039,1.330904,3.672904,34.649038,26.974038,141.780385,23657.5,15043.35
2023-07-22,3.748674,4.561039,1.330604,3.672904,34.413038,26.975304,141.790385,23657.5,15043.35
2023-07-23,3.75115,4.56598,1.33121,3.67303,34.415497,26.956985,141.754505,23657.5,15025.0
2023-07-24,3.75052,4.573502,1.331905,3.672899,34.56023,26.974397,141.5235,23675.0,15031.0
2023-07-25,3.750238,4.573501,1.327905,3.6729,34.435041,26.928502,140.917016,23665.0,15036.5
